"ID","CHR","MAPINFO","custom_Name","custom_Group","methylated_allele","tissue_specificity","associated_gene","court","hanna","sanchez_delgado","zink","hamada","note"
"cg07898446","6",3849294,"FAM50B","TSS1500","M","other","FAM50B",TRUE,TRUE,NA,TRUE,NA,""
"cg12840312","6",3849381,"FAM50B","TSS1500","M","other","FAM50B",TRUE,TRUE,NA,TRUE,NA,""
"cg01288598","6",14118227,"CD83","Body","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg16273597","6",14117480,"CD83","TSS1500","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg11874760","6",14118415,"CD83","Body","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg26787894","6",14117621,"CD83","TSS1500","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg21588998","6",14117903,"CD83","5'UTR","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg12201961","6",14117617,"CD83","TSS1500","M","placental-specific","CD83",NA,TRUE,NA,NA,NA,""
"cg24896692","6",18387562,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg08751913","6",18387077,"RNF144B","TSS1500","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg05021923","6",18387560,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg19494100","6",18387313,"RNF144B","TSS1500","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg12688576","6",18387407,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg02887507","6",18387465,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg02628513","6",18387689,"RNF144B","1stExon","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg01400476","6",18387809,"RNF144B","1stExon","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg09820084","6",18387507,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg04140974","6",18387360,"RNF144B","TSS1500","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg20186817","6",18387471,"RNF144B","TSS200","M","other","RNF144B",NA,TRUE,NA,NA,NA,""
"cg05728656","6",31628427,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg24818562","6",31627714,"C6orf47","1stExon","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg00385769","6",31628440,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg07069434","6",31628708,"C6orf47","TSS200","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg27023743","6",31628294,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg02449103","6",31627711,"C6orf47","1stExon","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg27409499","6",31628339,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg19003629","6",31628876,"C6orf47","TSS1500","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg12226346","6",31628196,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg08482670","6",31628298,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg11212624","6",31628641,"C6orf47","TSS200","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg26886875","6",31627653,"C6orf47","1stExon","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg01709348","6",31628417,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg00994601","6",31628797,"C6orf47","TSS1500","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg26010908","6",31628367,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg24920145","6",31628350,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg09859091","6",31628644,"C6orf47","TSS200","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg12388764","6",31628649,"C6orf47","TSS200","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg21573880","6",31628050,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg16842485","6",31628639,"C6orf47","TSS200","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg22484599","6",31628369,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg11045165","6",31628348,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg23591298","6",31628935,"C6orf47","TSS1500","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg13290154","6",31628056,"C6orf47","5'UTR","M","other","C6orf47",NA,TRUE,NA,NA,NA,""
"cg03062252","6",37616598,"MDGA1","Body","M","placental-specific","MDGA1",NA,TRUE,NA,NA,NA,""
"cg02267270","6",37616410,"MDGA1","Body","M","placental-specific","MDGA1",NA,TRUE,NA,NA,NA,""
"cg14926196","6",37616482,"MDGA1","Body","M","placental-specific","MDGA1",NA,TRUE,NA,NA,NA,""
"cg21356536","6",39902298,"MOCS1","TSS200","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg06000951","6",39902288,"MOCS1","Body","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg09284708","6",39901897,"MOCS1","Body","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg07182756","6",39902296,"MOCS1","TSS200","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg18394533","6",39902356,"MOCS1","TSS200","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg25571957","6",39902693,"MOCS1","TSS1500","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg01599742","6",39902533,"MOCS1","TSS1500","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg09038794","6",39902014,"MOCS1","Body","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg13825876","6",39902443,"MOCS1","TSS200","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg00083059","6",39902348,"MOCS1","TSS200","M","placental-specific","MOCS1",NA,TRUE,NA,NA,NA,""
"cg11044575","6",105401636,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg17933583","6",105401673,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg02895156","6",105401601,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg09723833","6",105401186,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg22620090","6",105400993,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg20015272","6",105400734,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg02391713","6",105400985,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg02829743","6",105400884,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg06832008","6",105401339,"","","M","placental-specific","LIN28B",TRUE,TRUE,NA,NA,NA,""
"cg12674357","6",106957945,"","","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg06025938","6",106959592,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg25944720","6",106958640,"AIM1","TSS1500","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg09184502","6",106958474,"AIM1","TSS1500","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg16202624","6",106960970,"AIM1","Body","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg24194539","6",106960065,"AIM1","1stExon","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg23413349","6",106958388,"AIM1","TSS1500","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg12448860","6",106959601,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg18405900","6",106959549,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg09404643","6",106960600,"AIM1","1stExon","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg19343088","6",106959551,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg00974935","6",106959535,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg05873285","6",106960491,"AIM1","1stExon","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg20796467","6",106957995,"","","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg14426428","6",106961936,"AIM1","Body","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg23052020","6",106960170,"AIM1","1stExon","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg25263140","6",106959651,"AIM1","TSS200","M","placental-specific","AIM1",TRUE,TRUE,NA,NA,NA,""
"cg11300372","6",144008079,"PHACTR2","Body","M","other","PLAGL1",NA,NA,NA,TRUE,NA,""
"cg03562868","6",144329922,"PLAGL1","TSS1500","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg12757684","6",144329485,"PLAGL1","1stExon","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg09730369","6",144328421,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg05326984","6",144329766,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg17895149","6",144329829,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg07077459","6",144329052,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg00702231","6",144329473,"PLAGL1","1stExon","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg27216384","6",144329802,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg21526238","6",144329672,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg23541304","6",144329726,"PLAGL1","TSS200","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg22378065","6",144329172,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg12820609","6",144329744,"PLAGL1","TSS200","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg23460430","6",144329887,"PLAGL1","TSS1500","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg11532302","6",144329789,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg25350411","6",144328917,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg14161241","6",144329909,"PLAGL1","TSS1500","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg17865602","6",144328482,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg08263357","6",144329780,"HYMAI","Body","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg22352234","6",144329382,"PLAGL1","1stExon","M","other","PLAGL1",TRUE,TRUE,NA,NA,NA,""
"cg16039889","6",160427347,"AIRN","Body","M","other","",TRUE,NA,NA,NA,NA,""
"cg08350488","6",160427501,"IGF2R","Body","M","other","",TRUE,NA,NA,NA,NA,""
"cg25352781","6",161188022,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg18616418","6",161188638,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg03969305","6",161188183,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg19993219","6",161188822,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg03322161","6",161188322,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg23419328","6",161188574,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg03670381","6",161188529,"","","M","placental-specific","PLG",NA,TRUE,NA,NA,NA,""
"cg21732383","6",169654692,"THBS2","TSS1500","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg21279806","6",169654719,"THBS2","TSS1500","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg13922962","6",169654390,"THBS2","TSS200","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg16720973","6",169655308,"THBS2","TSS1500","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg22550299","6",169654842,"THBS2","TSS1500","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg05969567","6",169655497,"THBS2","TSS1500","M","other","WDR27",NA,NA,NA,TRUE,NA,""
"cg11938672","6",170055155,"WDR27","Body","M","other","",TRUE,NA,NA,NA,NA,""
"cg19089141","6",170054730,"WDR27","Body","M","other","",TRUE,NA,NA,NA,NA,""
"cg18322025","6",170055332,"WDR27","Body","M","other","",TRUE,NA,NA,NA,NA,""
"cg17262025","7",12610384,"SCIN","5'UTR","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg05311388","7",12610196,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg07541786","7",12610355,"SCIN","5'UTR","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg20728105","7",12610689,"SCIN","Body","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg02273970","7",12609907,"SCIN","TSS1500","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg02924053","7",12610169,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg12423584","7",12609932,"SCIN","TSS1500","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg10915772","7",12610078,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg18078387","7",12610124,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg04205943","7",12610526,"SCIN","1stExon","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg26566660","7",12610833,"SCIN","Body","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg08912317","7",12610175,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg20328736","7",12609934,"SCIN","TSS1500","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg20552487","7",12610166,"SCIN","TSS200","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg03604367","7",12610817,"SCIN","Body","M","placental-specific","SCIN",NA,TRUE,NA,NA,NA,""
"cg01797224","7",16851442,"AGR2","5'UTR","M","other","",NA,NA,NA,TRUE,NA,""
"cg19544459","7",22123197,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg25588451","7",22123038,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg02016892","7",22122612,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg19151665","7",22122819,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg11387705","7",22122473,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg23618638","7",22123315,"","","M","placental-specific","RAPGEF5",NA,TRUE,NA,NA,TRUE,""
"cg18106668","7",24323261,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg26418900","7",24324599,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24245418","7",24324976,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg15929698","7",24323792,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24885417","7",24323764,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg04697148","7",24325079,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg02521172","7",24325261,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24242823","7",24323675,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg01050885","7",24323128,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg11475550","7",24324570,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg25884711","7",24323840,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg12614105","7",24324435,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg21097881","7",24323939,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg05158615","7",24323559,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg00355281","7",24323767,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg02484210","7",24325371,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg16964348","7",24323799,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg18106668","7",24323261,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg26418900","7",24324599,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24245418","7",24324976,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg15929698","7",24323792,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24885417","7",24323764,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg04697148","7",24325079,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg02521172","7",24325261,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg24242823","7",24323675,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg01050885","7",24323128,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg11475550","7",24324570,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg25884711","7",24323840,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg12614105","7",24324435,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg21097881","7",24323939,"NPY","5'UTR","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg05158615","7",24323559,"NPY","TSS1500","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg00355281","7",24323767,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg02484210","7",24325371,"NPY","Body","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg16964348","7",24323799,"NPY","TSS200","M","placental-specific","NPY",NA,TRUE,NA,NA,TRUE,""
"cg22332188","7",43152957,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg17045801","7",43153223,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg08652532","7",43152023,"HECW1","TSS200","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg08039116","7",43152254,"HECW1","1stExon","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg24384918","7",43153950,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg05380503","7",43151986,"HECW1","TSS1500","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg03004999","7",43152125,"HECW1","TSS200","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg21656751","7",43153201,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg14872657","7",43153216,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg25717239","7",43153595,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg03781266","7",43153023,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg21478136","7",43152087,"HECW1","TSS200","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg13298841","7",43152021,"HECW1","TSS200","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg15309393","7",43152143,"HECW1","TSS200","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg13027493","7",43153392,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg17438849","7",43152468,"HECW1","1stExon","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg25803632","7",43151828,"HECW1","TSS1500","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg22795470","7",43152542,"HECW1","5'UTR","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg01971676","7",43151877,"HECW1","TSS1500","M","placental-specific","HECW1",NA,TRUE,NA,NA,NA,""
"cg01177190","7",50782591,"GRB10","Body","M","other","GRB10",NA,NA,NA,TRUE,NA,""
"cg27653667","7",50850755,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg24977055","7",50850870,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg23023285","7",50850635,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg03104936","7",50849168,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg12903171","7",50850564,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg09150232","7",50849639,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg23742152","7",50849805,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg05998930","7",50849285,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg16349612","7",50849723,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg08835688","7",50849931,"GRB10","5'UTR","M","other","",TRUE,NA,NA,NA,NA,""
"cg16395457","7",81240667,"AC010091.1","3'UTR","M","other","HGF",NA,TRUE,NA,NA,NA,""
"cg17256697","7",81240257,"AC010091.1","3'UTR","M","other","HGF",NA,TRUE,NA,NA,NA,""
"cg08657341","7",81240603,"AC010091.1","3'UTR","M","other","HGF",NA,TRUE,NA,NA,NA,""
"cg27310219","7",81240445,"AC010091.1","3'UTR","M","other","HGF",NA,TRUE,NA,NA,NA,""
"cg17722129","7",81240572,"AC010091.1","3'UTR","M","other","HGF",NA,TRUE,NA,NA,NA,""
"cg03384175","7",94286343,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg22820921","7",94287242,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg21771834","7",94286263,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg27120649","7",94286261,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg02965180","7",94285784,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg19924104","7",94285672,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg22924867","7",94286834,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg11175683","7",94286420,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg12397924","7",94287186,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg11589966","7",94285685,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg22331138","7",94286131,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg11985632","7",94286351,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg05277165","7",94285814,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg04366249","7",94285501,"SGCE","1stExon","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg14388858","7",94285520,"SGCE","1stExon","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg05509218","7",94286793,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg09910998","7",94285942,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg05096321","7",94286511,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg01169624","7",94286936,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg20041873","7",94286669,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg05531533","7",94285687,"SGCE","TSS200","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg13660372","7",94285873,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg21853542","7",94286559,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg03436478","7",94286760,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg07921535","7",94285911,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg08291000","7",94285960,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg26997085","7",94286110,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg01566785","7",94285745,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg05819130","7",94285759,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg18139769","7",94286955,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg15696408","7",94287211,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg16492735","7",94286208,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg09890341","7",94286650,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg19107595","7",94285642,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg26503018","7",94286243,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg00906934","7",94286232,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg27435646","7",94285712,"PEG10","5'UTR","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg14873490","7",94286304,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg04303139","7",94286753,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
"cg09512080","7",94286219,"SGCE","TSS1500","M","other","PEG10/SGCE",TRUE,TRUE,NA,NA,NA,""
